,Site,Observed OTUs,chao1,shannon,simpson
CPSNJ01_350,Nanjing,2445,4482.0,7.550584277222986,0.9992472689748879
CPSNJ02_350,Nanjing,2616,5325.478947368421,7.7160516462754405,0.9994574154684958
CPSNJ03_350,Nanjing,2202,4044.156057494866,7.459325221025088,0.9991982137129167
CPSNJ04_350,Nanjing,2464,4996.0465116279065,7.613988607334937,0.9993393620054059
CPSNJ08_350,Nanjing,2899,5911.825641025641,7.698278694522713,0.999287035469333
CPSNJ09_350,Nanjing,1825,3278.795566502463,7.240108422960654,0.9989404211903349
CPSNJ10_350,Nanjing,2471,4580.255395683453,7.5712681914052125,0.9992564129778267
CPSNJ11_350,Nanjing,2106,3578.688796680498,7.364013722783599,0.9990555904358049
CPSNJ13_350,Nanjing,2029,3584.9177215189875,7.3517441630433265,0.9990512973296394
CPSNJ14_350,Nanjing,2462,4386.026548672567,7.580209340577739,0.999319025108348
CPSNJ15_350,Nanjing,2682,4917.526315789473,7.737117514867184,0.9994676583807538
CPSNJ16_350,Nanjing,1976,3513.603603603604,7.308403616211592,0.9989861680440167
CPSNJ19_350,Nanjing,2064,4214.723150357995,7.383188752632464,0.9991089672153309
CPSNJ20_350,Nanjing,2325,4089.9253731343283,7.491083352158075,0.9991304263809312
10_350,Shanghai,2135,4362.470308788599,7.32421556414422,0.9988833593978449
11_350,Shanghai,2626,6085.877300613497,7.689369936709525,0.9994022912334725
12_350,Shanghai,2349,4385.694881889764,7.554964753355618,0.9993183774655026
13_350,Shanghai,2252,4022.4381139489196,7.416880516469128,0.999017176595687
14_350,Shanghai,2622,6291.168724279835,7.669835655187317,0.999288222590499
15_350,Shanghai,2444,5060.3060000000005,7.514814072637944,0.9990701342540573
16_350,Shanghai,2285,5828.222811671088,7.462490249511044,0.9990386423974297
17_350,Shanghai,2423,5253.651612903226,7.453121347984201,0.9987199225648739
18_350,Shanghai,2252,4523.695067264574,7.380199786359937,0.9989502456550099
19_350,Shanghai,2418,4820.735294117647,7.537200907234263,0.9991762239802829
1_350,Shanghai,2173,3981.556701030928,7.4047355427759,0.9990697382992821
20_350,Shanghai,2562,5039.988549618321,7.589387508782484,0.9992556363496461
21_350,Shanghai,2561,6004.942184154175,7.625799543867254,0.9992796701452321
22_350,Shanghai,2429,5225.7918454935625,7.505638944399863,0.9989873477736338
23_350,Shanghai,2523,5053.921532846715,7.61901991635569,0.9993075132625848
24_350,Shanghai,3268,6530.065250379363,7.809064628831244,0.9993301290950408
25_350,Shanghai,2477,5381.496907216495,7.526200560463312,0.9991157530461515
26_350,Shanghai,2491,5357.20202020202,7.562212744158327,0.9991744848367399
27_350,Shanghai,2771,6421.882575757576,7.7680781242330745,0.9994697180152119
28_350,Shanghai,2414,5192.901234567901,7.610609375948922,0.9993704459870757
29_350,Shanghai,2644,5005.384485666104,7.620316489584564,0.9992535163328136
2_350,Shanghai,2243,4217.141104294478,7.468761433893428,0.9991738967466093
30_350,Shanghai,2712,4770.1278538812785,7.707255938750736,0.9994058624475329
3_350,Shanghai,2075,3869.5506607929515,7.403878100049618,0.9991716784673053
4_350,Shanghai,2156,4327.843971631206,7.4259811374953095,0.9991723513704978
5_350,Shanghai,2029,3901.9333333333334,7.288098942301859,0.998842364273349
6_350,Shanghai,2825,5792.372852233677,7.684316968755198,0.9993073327768418
7_350,Shanghai,2095,4209.047058823529,7.338708175614454,0.9989295993606775
8_350,Shanghai,2298,4603.958592132505,7.446747956351031,0.9989351132579292
9_350,Shanghai,2521,5726.942917547569,7.610441801758719,0.9993178678750675
SNJ01_350,Nanjing,2884,5759.409165302783,7.7633589295911225,0.999437990199968
SNJ02_350,Nanjing,2890,6420.88309352518,7.681655421030484,0.9989100779956807
SNJ03_350,Nanjing,2711,5500.045045045044,7.656302367001872,0.999303604966875
SNJ04_350,Nanjing,2842,5799.70202020202,7.768316639877107,0.9994444688098475
SNJ08_350,Nanjing,2442,5144.048192771084,7.605103422220603,0.999332872403964
SNJ09_350,Nanjing,2241,4499.817991631799,7.456431251013319,0.9990247555916585
SNJ10_350,Nanjing,2647,5677.555963302752,7.7045286890206155,0.9994224751313786
SNJ11_350,Nanjing,2406,5408.495575221239,7.580241184438901,0.9993204457441438
SNJ13_350,Nanjing,2401,5284.141649048626,7.6075393782840095,0.9993722096640707
SNJ14_350,Nanjing,2457,4981.615384615385,7.623861917215247,0.999360712263519
